profile_id_1,profile_id_2,pair_ID,wage_1,wage_2,mangender_1,mangender_2,flexschedule_1,flexschedule_2,parental_1,parental_2,skillsdev_1,skillsdev_2
1,139,58,-5%,+5%,M,F,no influence,no influence,no additional leave,3 extra days,low,low
1,140,59,-5%,+5%,M,F,no influence,no influence,no additional leave,3 extra days,low,moderate
1,141,60,-5%,+5%,M,F,no influence,no influence,no additional leave,3 extra days,low,high
1,142,61,-5%,+5%,M,F,no influence,no influence,no additional leave,one extra week,low,low
1,143,62,-5%,+5%,M,F,no influence,no influence,no additional leave,one extra week,low,moderate
1,144,63,-5%,+5%,M,F,no influence,no influence,no additional leave,one extra week,low,high
1,145,64,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,low,low
1,146,65,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,low,moderate
1,147,66,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,low,high
1,148,67,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,low,low
1,149,68,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,low,moderate
1,150,69,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,low,high
1,151,70,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,low,low
1,152,71,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,low,moderate
1,153,72,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,low,high
1,154,73,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,low,low
1,155,74,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,low,moderate
1,156,75,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,low,high
1,157,76,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,low,low
1,158,77,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,low,moderate
1,159,78,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,low,high
1,160,79,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,low,low
1,161,80,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,low,moderate
1,162,81,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,low,high
1,190,82,-5%,+10%,M,F,no influence,no influence,no additional leave,no additional leave,low,low
1,191,83,-5%,+10%,M,F,no influence,no influence,no additional leave,no additional leave,low,moderate
1,192,84,-5%,+10%,M,F,no influence,no influence,no additional leave,no additional leave,low,high
1,193,85,-5%,+10%,M,F,no influence,no influence,no additional leave,3 extra days,low,low
1,194,86,-5%,+10%,M,F,no influence,no influence,no additional leave,3 extra days,low,moderate
1,195,87,-5%,+10%,M,F,no influence,no influence,no additional leave,3 extra days,low,high
1,196,88,-5%,+10%,M,F,no influence,no influence,no additional leave,one extra week,low,low
1,197,89,-5%,+10%,M,F,no influence,no influence,no additional leave,one extra week,low,moderate
1,198,90,-5%,+10%,M,F,no influence,no influence,no additional leave,one extra week,low,high
1,199,91,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,low,low
1,200,92,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,low,moderate
1,201,93,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,low,high
1,202,94,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,low,low
1,203,95,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,low,moderate
1,204,96,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,low,high
1,205,97,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,low,low
1,206,98,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,low,moderate
1,207,99,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,low,high
1,208,100,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,low,low
1,209,101,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,low,moderate
